Public Address,POL,USDC,USDT,MINA
0xe11A07418B0fE700d9a1586Cf4Fc13792DFb959b,8063,8614,6528,5577
0x56A3C2b23528502287Cfe72c18cDfD97c2d069c7,4159,1063,7807,5804
0x7dd7BeebeFbEB677962219979f148787f40bfe08,2061,9496,9170,7057
0x42Fa14DA1bEF2012C961CA2C705D1Dc82DfFdbBB,7990,5221,6276,6805
0x9DB2B513696333F103eA67Af8906eF30f495A86C,7869,4391,4092,4971
0xcCa3E0787a64c6EBc87141CB9ebA0eB54b0E50d6,2311,4887,7362,3552
0x8F969aB160a11448fB9340F8Dc0ae2eC852FDab9,5788,5841,1527,9843
0x44B0d522850808406EdfCf2B98F2A04646334c04,1585,5956,2068,9792
0xc2E8a6731c8548C64C41Cb205058C3C155CCCe78,6706,8312,4613,7805
0xdf205619168454AE98bAA4dEA3eE2Bf5FD798dd3,8790,4005,1725,3842
