Public Address,POL,USDC,USDT,MINA
0xB9e7E31e79A6801E5c0B32488F3f28E13668A670,2714,9913,5658,5651
0xAD164BCf901aEeE490Ac01506a54a485E47094B7,7007,9816,4695,5248
0x3A04174dBb21CA838D13f4f80BA5FC79846f1462,7414,6845,9416,717
0x82C1dFd4C7C69641E9552A5544780313c4cd36E1,49,7960,6733,4354
0x694243798B5265D139B8d60a3b013f0553Fa9415,9578,2824,8320,3737
0x37AD961d89FDc7a1A1f2ECAF8EEf5e46003bE9Dc,580,8375,7632,3795
0xdC3Ec109062a539A0Af4a5E68998b5f02ea6Fb34,1384,4900,4557,8791
0x4cdDde877B034194299c29f96Cf1E3f9d5483099,793,9308,4540,4342
0xF34887B47Dfe7A610b19c67f1480D9187a5Bcb55,9187,9655,8975,1147
0x2259B8d50DC7184E47D2e512bcD1723404a887aB,4919,6935,7306,441
