Public Address,POL,LINK,MINA,USDT,ETH,AVX,USDC
0x5CFE7b8755a87D173c2B6Dd87750F34F4ca2e0c4,959.2016,964.2994,212.2472,217.4901,900.9182,380.5865,655.8473
0xF2156075980032Fd6e0a8b0f69f46D54d9656860,483.115,115.6148,883.0218,637.9071,937.9024,177.3874,638.7523
0xC0872e88Df5AEF2b2ced42358e056B264511e67b,260.0864,176.6938,269.8112,803.8164,898.3782,47.2949,669.8906
0xB9C0F10156b0B23a0980731A988ccF58F7Cdfe4F,861.5176,701.1194,953.507,716.7518,899.6636,53.9601,988.7853
0xC47bB2080fDad0A0B32339090b2c62fE0820fB6F,692.6097,86.6949,576.2721,242.705,880.0082,119.3674,124.0518
0xa828ff68d7749D21A11ceB90C862D9ff834db3e3,206.7338,579.244,663.6163,153.5999,327.6491,310.2999,348.6052
0x7049Cd52F57a237BB27f406a447ab0cF2e7F785E,662.3933,74.167,377.8,959.3389,372.9152,391.1504,302.2978
0xEfaa84D0800EF2E80Afe0670Ed279330c2ac319E,200.5803,106.3933,475.9964,126.1373,195.324,622.3895,854.0512
0x3187346304e1b79371eb0Db0Ce44d75B9302525F,693.1388,552.3338,548.1562,51.0759,57.5959,619.6093,902.7713
0x5dd4eca8052082b299A24fe2F3e41c916e2A5c37,762.5775,444.3912,139.2567,667.7335,347.5511,889.5647,792.4418
0x68a05ADFa0B60838E62261aC7CAD73f5E56637Ca,341.808,697.5052,744.6859,361.0666,751.017,459.6248,297.6973
0x718b1d6D0285f5C1Db18b834ef727151E0dE857c,81.3029,530.922,433.8955,409.9984,101.1006,263.8025,146.5004
0x58d3D175809d1D127c0885AFed091b37F48F6f60,689.0677,444.4368,967.7305,298.6296,192.5306,42.0674,202.3444
0xBf3fa4c6Fa4928037164356b387310C15cc36b82,812.372,703.829,559.4556,754.2828,310.9763,67.965,766.223
0x1Fd28fb8d47c1D6f94805dB8ABed0b7E4045Ccc6,173.0336,592.0357,512.9225,637.7297,261.6349,244.4695,534.6618
0x09543d03bd007694912aCDf629d2F06D0F69e7Ee,176.9302,421.9424,721.6721,415.4609,692.0867,880.8257,770.1779
0xe1f9ACe955b0931940Ed7AfF168356Cb4E6F495d,222.7568,789.4505,355.0388,886.8015,836.0253,101.7817,783.117
0x47faE0ecC1adbc02a6EbdDFe9Ef93A8302a757ce,298.9382,956.4452,417.4093,243.3698,571.1845,278.7007,310.4927
0xe97F94CE2B18b973431F26602d8A8AAFec88320e,574.2204,940.0712,292.9709,348.0584,544.1968,197.2577,410.4599
0xc48daFb921Be52E928A43106642a41A1f69e9C7A,154.0313,319.2754,944.9107,663.6066,64.5142,893.446,228.8518
0x49E7bF3A4A5BFFda4e7320985994e225266A66AD,693.6609,220.23,519.9001,120.689,824.5394,115.21,81.0165
0xae6A7Ea1176fda06F17369C4669aE94B916f20e3,836.7513,573.9747,744.0464,343.4341,227.3297,424.1578,142.425
0xC89C081b22F5F908FB27a4Cd51cAEAd70357A631,5.5979,38.8927,182.4457,973.8616,284.1475,904.8177,922.3729
0x2447Ba0D5722aC616FC152434187131359088280,343.003,363.6652,399.3759,367.6738,141.5398,342.5894,134.0788
0x02f96987e2277D2CF62D64B917F26B3ee64bE9eb,950.6881,768.9489,486.928,934.7675,540.3625,941.9777,1.7161
0x650077bcA0fF51B74c177C3725fe470BEb8B0D5A,353.1591,237.4664,134.3355,579.2801,955.7762,588.4104,69.3512
0x384A54c097AEdCC7739AD2e91e025F9252d416dB,504.5302,443.9959,815.1119,411.2909,673.1173,78.4024,404.491
0x4768E5454787E664274100cCCAA4E82D130Be53e,888.823,518.8982,238.6249,80.59,356.1782,961.4524,288.6233
0xD1608013168A70505951A4FF6ede02fFE949A5c8,641.1526,108.3061,818.9902,248.9039,262.6424,3.7869,970.8372
0xa84A1A1b229EDfA9aEE805aFb5b9D97C4F5D9E11,902.2657,273.9593,327.0097,851.7082,188.3583,400.9791,704.3739
0xB425788071395FC5B02D8c98eF1713c5F12Dce57,197.4543,849.3125,692.936,826.273,904.6784,218.1208,669.2943
0x5F809BF6D5D29EEe8795e1ACCE544bFd01478D2c,944.8825,905.4871,816.871,533.3991,732.2662,269.2361,367.6572
0xA211c7d3b5Ab15b14511Bb6d9E0B5B5105975419,939.5264,866.2063,371.1885,544.5102,822.0072,807.2249,535.0191
0x80DF808F92E2B39e2c89F37307080587FCc72Fb9,874.8725,393.5948,360.3518,226.3094,832.4862,177.5279,451.0487
0xbE4AD8EdCD9F88358F0CA23B9D13476B48e9034b,783.5717,866.8839,788.532,984.9266,830.9307,649.9215,671.6669
0x90844DC5938F253265389a142d4c7Ba314250aF9,544.2385,375.9296,589.1509,688.5418,413.2291,498.9565,647.3647
0x4738cda75ec4d98B5Ab39306811Bb3791A6fDb79,720.7376,246.9875,945.3887,460.5238,96.9972,690.7217,975.2267
0x60687cB5e2E398DFEEE2f6f4f835e9c32beF2864,578.7468,684.7476,234.1414,13.3918,411.0511,669.9572,28.2785
0x9afB05618500BEcD5c36eB4Ad44a5eE89a2a92b2,544.5795,949.8872,34.0784,615.2894,942.9107,522.5208,859.9567
0xB44Fe7b89A24751bFD9965B5f4B186e58e76835a,709.4456,272.4332,641.2958,652.1717,788.8998,483.4603,77.2813
0xe0c97051c172A685A6c363aA3a727F57E2335b7c,871.1147,430.7445,161.6238,553.7681,956.9694,339.7354,3.1594
0x433329dd15e552ea957e7e841d99ecA1a015C77b,674.2714,637.5459,911.4796,511.5806,234.4691,476.1713,600.9113
0x1Bede5797fDb2B71faD0A7a93f136C953e5C5134,561.2037,511.9054,494.8024,664.5418,383.3463,310.2541,764.2956
0x4BEE648852De62c144bF767c16c9B97AbF6d64f9,155.1834,856.7261,514.2018,571.6016,630.5069,96.5648,391.463
0xBA83cc7eb5fbc6d9Ed71881585192E8D89314ccE,211.3888,684.3589,86.0005,712.8432,787.2753,602.0518,741.393
0x60D1c69b7EE8Cdf7d09933A0d6829c47be93b716,195.6247,288.0128,127.1691,148.9831,617.9334,983.5695,807.0907
0x47c72D0BBB03144841E2a4fC7c9378D4A6Df2302,310.7616,807.2724,274.3689,740.8381,969.4861,885.2302,765.2124
0xa1E0909128F9c70B4b5842f1241E14FfffEB3a01,790.0025,864.6467,408.0858,547.2604,658.5712,612.393,301.0083
0x81a0cd46c22f36ac4A9F4c182A0b9ECa4B747E8f,366.3174,928.9112,686.1462,558.3874,91.6249,487.0143,656.4776
0x615A6045d7554BAf1C81Ec6791d8728e985D8AF5,311.1169,84.3823,737.6775,298.2212,176.3911,414.3781,560.2603
0xa4aB884a0935c7DC4c0Eb58c57F7450afb925BF5,832.3456,306.0235,951.8723,573.9737,160.835,728.3882,115.0734
0xa9df20225320d11C1311bE42169dEb03B8E0539F,285.5575,24.2041,425.2331,130.4823,732.4604,50.1891,769.0752
0xe48E6d07a94AEABec8784ea8c3F436e5Ca93Bb47,778.547,467.1069,578.8209,675.4029,12.388,804.0554,193.6909
0x8B222f04c182c4eE8602Cb99Fe94866E25586a83,881.2387,425.2489,931.0246,153.7325,100.5653,407.2699,305.6852
0xd85a7e3B6600C07E63b8623a7c8207ca6Da4F5d8,152.1395,356.0381,421.782,886.7714,336.4321,966.5963,483.6565
0x9a0e9dfBaa4a98b2f323B013B394E698a7de6A28,7.4675,70.778,117.6948,216.4306,238.0173,457.1349,969.2013
0x18126606Ee752c2e41356B02607406F8F436d4F2,82.222,363.3985,864.9639,121.6611,699.6414,510.8226,371.4126
0x661924e9519d3284926755f33ab5dDad6d173129,856.0615,465.5891,117.1887,638.5768,784.5572,364.575,432.7806
0x4804B446a4F07e2C7589Da7dbF9FED85D754ce50,405.9217,858.9686,405.8741,895.2053,674.6144,189.6925,717.9122
0x44E3Ea447BAD0a8a0aB929442c2b7d6dDfEfdbc6,242.7785,237.2168,831.1753,654.1403,755.9404,644.0089,83.4855
0xdDeE08514DeC359de81Fd31C600ae0206Bad4615,501.3289,44.1028,822.9656,994.7573,394.811,4.263,333.5903
0x4e19b7060b90066859e9040e40315266DF1D8ccF,556.4475,764.5104,315.1231,482.7844,274.2185,542.197,179.8678
0x0a13Fb4EC19D76635018146744A9e90a915E2B37,404.2472,226.3204,944.7764,257.4905,563.2724,713.1507,696.0636
0x570644dF078A835691E558F91B87a76c72fE7f08,695.1963,338.2094,753.5782,416.7933,794.7976,940.895,194.7595
0xEF610B5E0077da87a9Fc77999d8985b8f6237f92,409.2957,402.224,363.3139,743.2091,466.8885,96.6031,638.2031
0x09a710aCB850DA8FDF378A4a273f584F992870c3,449.2434,463.1826,22.5699,810.4,309.4365,290.824,888.3203
0xa5576e56555ab40a0dF6d2387DFA2A3D1542Ec38,382.8814,457.753,691.9632,495.376,763.2127,312.935,768.0229
0x1958530FF4e16C9D1a27Bbbd9c38BE226422daE9,812.8675,420.9249,159.3759,486.6514,390.9016,65.1616,449.1797
0xDFe5cAC5C3B869B4ddACe4f4719401Ce262099e0,388.6827,810.8363,800.8591,20.242,987.4163,647.0778,36.5552
0x8b57c49B20126682Ef1A0A19C75B51eA38b27DD8,258.76,501.0812,682.5314,365.6708,452.1364,407.9009,817.9038
0xa89518B863AB03DC2E6f6B173F6a2ca1D4a2a100,146.7774,62.1725,861.9904,699.0032,805.5562,77.6025,539.7552
0x2Ffa0f4E23bF376561892A6DF9B3C12F0C0Aa009,367.0061,493.9269,488.7737,247.0245,134.3495,170.5263,965.5685
0x1e16368B8C1a249660Af3E87d47C8F4368286e50,728.7267,943.397,540.8471,166.5542,211.0204,387.4923,413.7709
0x2f686371C712Dff2aF152D2c78037563F75C7a47,855.6401,125.4167,4.8354,812.5127,128.2282,355.3008,333.9753
0xE06C74138005Aced90bC3ceef713413548e8787A,69.0027,516.9092,107.2986,935.4731,792.9563,711.9727,377.2915
0x17Cae7a41bBC32f52dF1ee5285dd9488970D57D8,115.2795,26.7938,119.1466,844.1973,423.5001,311.7775,40.0873
0x85d646c5b8A4b9Bf038AffE40085D39AD58591ab,521.6051,39.6834,769.0376,958.4235,639.8676,996.2603,19.7505
0x7c038D1238498F33Cea70f18c79AAee36495Ed64,373.8168,352.4598,42.0157,70.0447,816.8789,607.3582,205.2957
0xB81e4C9d6B3388469096248308cEBDbA52Fd12BD,100.0403,233.8554,211.2586,253.4028,60.7819,541.9629,80.442
0x048cd3d594866B9772A5D9085E2750Dd8D4d8fC6,990.6515,794.6502,540.4785,752.8671,258.9318,256.4069,532.2031
0xC4dCeBE44F1E0a448019debAF5A1d33660dce6Cd,195.2303,247.9387,198.2437,178.8341,141.0747,779.1409,722.1903
0x6612630C5e2D6b61743185c6A4020909C0190c30,277.0597,610.1427,293.7389,280.7008,311.7875,173.2945,883.2907
0xA713dfae9Df613e6b2B04F3BA15CC42b5e47631E,643.9308,336.888,235.3243,780.7181,840.5561,636.4324,203.5834
0xb2e989d7672a712072d05ceCda73D58a79806C63,535.8645,485.3994,844.9987,994.0002,507.85,959.3592,43.1881
0x4cd1CC30589C0cd5034E5e32cb5Da1545151f49A,975.9246,551.8112,951.2295,119.6656,513.2604,233.3537,865.5013
0x8B8d01C2DEf8B8887f4A5eDf560B17ab18fC6362,143.448,415.8669,864.1877,497.1686,189.898,37.6883,222.0654
0xC195014D8113c5e6CF8BAa6fcBAC646EE8d83f0D,160.5372,98.1854,174.1033,179.0761,543.7273,987.4763,718.5557
0x729562CF70C523AC82405cffd228eDbcA52DbFF7,386.2749,437.6711,322.8418,443.4298,777.8957,378.1171,727.3751
0x1A996b818D79612632A57D071c743E2701771632,954.7336,132.8625,249.7371,271.7347,51.7365,111.8584,356.0571
0xA83F94fD10df4061D0c0142b1B8ECe43ADbe8824,730.8363,538.702,470.4723,839.554,712.2306,364.4072,333.0757
0x4D207A722F25cFE8d1528f1c7066CcA220e3e8B5,144.375,314.2534,608.9246,630.8887,458.6142,91.1877,217.6414
0x20E5c6Dc52f6fEeC1F415B30433d3b6A9f8C6191,790.8064,273.8831,6.9578,990.8043,635.085,326.3565,301.7775
0x88ce2AF1982Eeb7DD0Ace213a4423EC6F5Bd4a92,810.0166,604.9673,840.9449,261.8074,835.0778,833.7225,898.4529
0x7100fff9ce6F973A1d79Dc94F1450694Fd54A766,258.2719,257.7681,938.7119,922.051,83.1265,581.7074,339.167
0xb807630768A59676D7418e92Bcfe692B577fe07B,696.6186,774.777,443.6561,922.1771,227.301,567.9105,537.0729
0xF50e126433E54B2f4b97C1d13A9B9e993eA796F7,262.1116,72.5828,396.3587,954.279,856.5929,962.3135,637.7301
0xeD2f4F4AA27d5B155A9F79eDAA49b615Ac17FB0b,564.3662,956.97,341.9688,502.5898,287.0272,505.5624,680.3347
0x67101B3041370c8df4062C85382bF4a987459845,346.466,170.354,212.4013,844.4401,996.0826,638.3726,76.5818
0x51acEA6217DEAbfb0CC9202De0043F21d9E0d854,776.4223,977.0118,755.6596,15.1008,578.7921,274.4522,219.346
0x7beDA75396C9Cb99168e37754E76555279aC29D7,804.5638,32.1584,947.0138,899.781,226.9552,189.7211,199.4721
0x60aB7A2412a4960F7273447f039307623aAC608d,277.5329,813.0178,237.2791,942.5173,328.2647,643.9703,699.0369
0xF0Fa2E90cb3436dbeAb6cdfDfc26F3E140B1C6Be,26.6161,759.1052,479.0627,448.5907,325.6851,512.2779,216.8387
0x841369849A9b329e82559CC11BDc848F3b4abb5b,168.1134,30.0862,362.2922,184.4236,933.7409,424.5805,350.162
0x8c84B7F1d36e1Bd6c5a13BF87d33993Bff042645,423.9602,862.5154,26.2303,229.5214,231.2097,387.594,330.8464
0xEA575BF956b13DC11499931ABaB526A7335CD8b8,408.5429,486.1782,527.7645,227.5608,938.947,547.159,872.5487
